date,corrupção_unscaled,corrupção_monthly,isPartial,scale,corrupção
2006-01-01,0,39.0,False,0.39,0.0
2006-01-02,0,39.0,,0.39,0.0
2006-01-03,100,39.0,,0.39,39.0
2006-01-04,0,39.0,,0.39,0.0
2006-01-05,0,39.0,,0.39,0.0
2006-01-06,0,39.0,,0.39,0.0
2006-01-07,52,39.0,,0.39,20.28
2006-01-08,0,18.0,False,0.18,0.0
2006-01-09,30,18.0,,0.18,5.3999999999999995
2006-01-10,0,18.0,,0.18,0.0
2006-01-11,31,18.0,,0.18,5.58
2006-01-12,32,18.0,,0.18,5.76
2006-01-13,33,18.0,,0.18,5.9399999999999995
2006-01-14,0,18.0,,0.18,0.0
2006-01-15,0,18.0,False,0.18,0.0
2006-01-16,0,18.0,,0.18,0.0
2006-01-17,0,18.0,,0.18,0.0
2006-01-18,0,18.0,,0.18,0.0
2006-01-19,0,18.0,,0.18,0.0
2006-01-20,0,18.0,,0.18,0.0
2006-01-21,49,18.0,,0.18,8.82
2006-01-22,0,9.0,False,0.09,0.0
2006-01-23,0,9.0,,0.09,0.0
2006-01-24,0,9.0,,0.09,0.0
2006-01-25,62,9.0,,0.09,5.58
2006-01-26,0,9.0,,0.09,0.0
2006-01-27,31,9.0,,0.09,2.79
2006-01-28,46,9.0,,0.09,4.14
2006-01-29,0,33.0,False,0.33,0.0
2006-01-30,0,33.0,,0.33,0.0
2006-01-31,28,33.0,,0.33,9.24
2006-02-01,0,33.0,,0.33,0.0
2006-02-02,0,33.0,,0.33,0.0
2006-02-03,0,33.0,,0.33,0.0
2006-02-04,0,33.0,,0.33,0.0
2006-02-05,0,32.0,False,0.32,0.0
2006-02-06,0,32.0,,0.32,0.0
2006-02-07,0,32.0,,0.32,0.0
2006-02-08,0,32.0,,0.32,0.0
2006-02-09,0,32.0,,0.32,0.0
2006-02-10,0,32.0,,0.32,0.0
2006-02-11,37,32.0,,0.32,11.84
2006-02-12,37,46.0,False,0.46,17.02
2006-02-13,24,46.0,,0.46,11.040000000000001
2006-02-14,24,46.0,,0.46,11.040000000000001
2006-02-15,0,46.0,,0.46,0.0
2006-02-16,0,46.0,,0.46,0.0
2006-02-17,0,46.0,,0.46,0.0
2006-02-18,38,46.0,,0.46,17.48
2006-02-19,0,56.0,False,0.56,0.0
2006-02-20,0,56.0,,0.56,0.0
2006-02-21,47,56.0,,0.56,26.320000000000004
2006-02-22,24,56.0,,0.56,13.440000000000001
2006-02-23,24,56.0,,0.56,13.440000000000001
2006-02-24,0,56.0,,0.56,0.0
2006-02-25,100,56.0,,0.56,56.00000000000001
2006-02-26,0,19.0,False,0.19,0.0
2006-02-27,0,19.0,,0.19,0.0
2006-02-28,0,19.0,,0.19,0.0
2006-03-01,0,19.0,,0.19,0.0
2006-03-02,0,19.0,,0.19,0.0
2006-03-03,0,19.0,,0.19,0.0
2006-03-04,0,19.0,,0.19,0.0
2006-03-05,39,50.0,False,0.5,19.5
2006-03-06,25,50.0,,0.5,12.5
2006-03-07,0,50.0,,0.5,0.0
2006-03-08,0,50.0,,0.5,0.0
2006-03-09,75,50.0,,0.5,37.5
2006-03-10,0,50.0,,0.5,0.0
2006-03-11,0,50.0,,0.5,0.0
2006-03-12,0,34.0,False,0.34,0.0
2006-03-13,71,34.0,,0.34,24.14
2006-03-14,24,34.0,,0.34,8.16
2006-03-15,0,34.0,,0.34,0.0
2006-03-16,0,34.0,,0.34,0.0
2006-03-17,0,34.0,,0.34,0.0
2006-03-18,36,34.0,,0.34,12.24
2006-03-19,0,94.0,False,0.94,0.0
2006-03-20,0,94.0,,0.94,0.0
2006-03-21,23,94.0,,0.94,21.619999999999997
2006-03-22,23,94.0,,0.94,21.619999999999997
2006-03-23,24,94.0,,0.94,22.56
2006-03-24,100,94.0,,0.94,94.0
2006-03-25,0,94.0,,0.94,0.0
2006-03-26,0,52.0,False,0.52,0.0
2006-03-27,0,52.0,,0.52,0.0
2006-03-28,67,52.0,,0.52,34.84
2006-03-29,46,52.0,,0.52,23.92
2006-03-30,0,52.0,,0.52,0.0
2006-03-31,25,52.0,,0.52,13.0
2006-04-01,0,52.0,,0.52,0.0
2006-04-02,0,53.0,False,0.53,0.0
2006-04-03,57,53.0,,0.53,30.21
2006-04-04,56,53.0,,0.53,29.68
2006-04-05,29,53.0,,0.53,15.370000000000001
2006-04-06,0,53.0,,0.53,0.0
2006-04-07,0,53.0,,0.53,0.0
2006-04-08,0,53.0,,0.53,0.0
2006-04-09,89,45.0,False,0.45,40.050000000000004
2006-04-10,0,45.0,,0.45,0.0
2006-04-11,0,45.0,,0.45,0.0
2006-04-12,0,45.0,,0.45,0.0
2006-04-13,0,45.0,,0.45,0.0
2006-04-14,0,45.0,,0.45,0.0
2006-04-15,0,45.0,,0.45,0.0
2006-04-16,100,50.0,False,0.5,50.0
2006-04-17,0,50.0,,0.5,0.0
2006-04-18,28,50.0,,0.5,14.0
2006-04-19,0,50.0,,0.5,0.0
2006-04-20,60,50.0,,0.5,30.0
2006-04-21,0,50.0,,0.5,0.0
2006-04-22,45,50.0,,0.5,22.5
2006-04-23,0,13.0,False,0.13,0.0
2006-04-24,0,13.0,,0.13,0.0
2006-04-25,0,13.0,,0.13,0.0
2006-04-26,0,13.0,,0.13,0.0
2006-04-27,28,13.0,,0.13,3.64
2006-04-28,0,13.0,,0.13,0.0
2006-04-29,46,13.0,,0.13,5.98
2006-04-30,0,14.0,False,0.14,0.0
2006-05-01,0,14.0,,0.14,0.0
2006-05-02,0,14.0,,0.14,0.0
2006-05-03,0,14.0,,0.14,0.0
2006-05-04,0,14.0,,0.14,0.0
2006-05-05,56,14.0,,0.14,7.840000000000001
2006-05-06,0,14.0,,0.14,0.0
2006-05-07,0,25.0,False,0.25,0.0
2006-05-08,25,25.0,,0.25,6.25
2006-05-09,0,25.0,,0.25,0.0
2006-05-10,100,25.0,,0.25,25.0
2006-05-11,0,25.0,,0.25,0.0
2006-05-12,0,25.0,,0.25,0.0
2006-05-13,0,25.0,,0.25,0.0
2006-05-14,0,50.0,False,0.5,0.0
2006-05-15,25,50.0,,0.5,12.5
2006-05-16,97,50.0,,0.5,48.5
2006-05-17,25,50.0,,0.5,12.5
2006-05-18,24,50.0,,0.5,12.0
2006-05-19,52,50.0,,0.5,26.0
2006-05-20,0,50.0,,0.5,0.0
2006-05-21,38,43.0,False,0.43,16.34
2006-05-22,71,43.0,,0.43,30.53
2006-05-23,46,43.0,,0.43,19.78
2006-05-24,47,43.0,,0.43,20.21
2006-05-25,48,43.0,,0.43,20.64
2006-05-26,26,43.0,,0.43,11.18
2006-05-27,0,43.0,,0.43,0.0
2006-05-28,0,53.0,False,0.53,0.0
2006-05-29,68,53.0,,0.53,36.04
2006-05-30,46,53.0,,0.53,24.380000000000003
2006-05-31,23,53.0,,0.53,12.190000000000001
2006-06-01,100,53.0,,0.53,53.0
2006-06-02,71,53.0,,0.53,37.63
2006-06-03,52,53.0,,0.53,27.560000000000002
2006-06-04,0,42.0,False,0.42,0.0
2006-06-05,32,42.0,,0.42,13.44
2006-06-06,0,42.0,,0.42,0.0
2006-06-07,66,42.0,,0.42,27.72
2006-06-08,66,42.0,,0.42,27.72
2006-06-09,74,42.0,,0.42,31.08
2006-06-10,0,42.0,,0.42,0.0
2006-06-11,54,28.0,False,0.28,15.120000000000001
2006-06-12,0,28.0,,0.28,0.0
2006-06-13,0,28.0,,0.28,0.0
2006-06-14,36,28.0,,0.28,10.080000000000002
2006-06-15,0,28.0,,0.28,0.0
2006-06-16,41,28.0,,0.28,11.48
2006-06-17,57,28.0,,0.28,15.96
2006-06-18,0,6.0,False,0.06,0.0
2006-06-19,34,6.0,,0.06,2.04
2006-06-20,0,6.0,,0.06,0.0
2006-06-21,66,6.0,,0.06,3.96
2006-06-22,44,6.0,,0.06,2.6399999999999997
2006-06-23,0,6.0,,0.06,0.0
2006-06-24,0,6.0,,0.06,0.0
2006-06-25,0,67.0,False,0.67,0.0
2006-06-26,69,67.0,,0.67,46.230000000000004
2006-06-27,83,67.0,,0.67,55.61000000000001
2006-06-28,70,67.0,,0.67,46.900000000000006
2006-06-29,36,67.0,,0.67,24.12
2006-06-30,39,67.0,,0.67,26.130000000000003
2006-07-01,0,67.0,,0.67,0.0
2006-07-02,46,52.0,False,0.52,23.92
2006-07-03,57,52.0,,0.52,29.64
2006-07-04,28,52.0,,0.52,14.56
2006-07-05,88,52.0,,0.52,45.760000000000005
2006-07-06,0,52.0,,0.52,0.0
2006-07-07,31,52.0,,0.52,16.12
2006-07-08,0,52.0,,0.52,0.0
2006-07-09,100,39.0,False,0.39,39.0
2006-07-10,28,39.0,,0.39,10.92
2006-07-11,29,39.0,,0.39,11.31
2006-07-12,29,39.0,,0.39,11.31
2006-07-13,59,39.0,,0.39,23.01
2006-07-14,31,39.0,,0.39,12.09
2006-07-15,0,39.0,,0.39,0.0
2006-07-16,0,13.0,False,0.13,0.0
2006-07-17,0,13.0,,0.13,0.0
2006-07-18,0,13.0,,0.13,0.0
2006-07-19,0,13.0,,0.13,0.0
2006-07-20,0,13.0,,0.13,0.0
2006-07-21,32,13.0,,0.13,4.16
2006-07-22,0,13.0,,0.13,0.0
2006-07-23,49,51.0,False,0.51,24.990000000000002
2006-07-24,0,51.0,,0.51,0.0
2006-07-25,0,51.0,,0.51,0.0
2006-07-26,28,51.0,,0.51,14.280000000000001
2006-07-27,57,51.0,,0.51,29.07
2006-07-28,0,51.0,,0.51,0.0
2006-07-29,0,51.0,,0.51,0.0
2006-07-30,0,6.0,False,0.06,0.0
2006-07-31,28,6.0,,0.06,1.68
2006-08-01,0,6.0,,0.06,0.0
2006-08-02,27,6.0,,0.06,1.6199999999999999
2006-08-03,27,6.0,,0.06,1.6199999999999999
2006-08-04,59,6.0,,0.06,3.54
2006-08-05,0,6.0,,0.06,0.0
2006-08-06,0,41.0,False,0.41,0.0
2006-08-07,27,41.0,,0.41,11.069999999999999
2006-08-08,0,41.0,,0.41,0.0
2006-08-09,26,41.0,,0.41,10.66
2006-08-10,27,41.0,,0.41,11.069999999999999
2006-08-11,86,41.0,,0.41,35.26
2006-08-12,83,41.0,,0.41,34.03
2006-08-13,87,100.0,False,1.0,87.0
2006-08-14,52,100.0,,1.0,52.0
2006-08-15,26,100.0,,1.0,26.0
2006-08-16,100,100.0,,1.0,100.0
2006-08-17,76,100.0,,1.0,76.0
2006-08-18,53,100.0,,1.0,53.0
2006-08-19,39,100.0,,1.0,39.0
2006-08-20,0,32.0,False,0.32,0.0
2006-08-21,48,32.0,,0.32,15.36
2006-08-22,49,32.0,,0.32,15.68
2006-08-23,50,32.0,,0.32,16.0
2006-08-24,51,32.0,,0.32,16.32
2006-08-25,54,32.0,,0.32,17.28
2006-08-26,78,32.0,,0.32,24.96
2006-08-27,0,69.0,False,0.69,0.0
2006-08-28,24,69.0,,0.69,16.56
2006-08-29,94,69.0,,0.69,64.86
2006-08-30,49,69.0,,0.69,33.809999999999995
2006-08-31,25,69.0,,0.69,17.25
2006-09-01,31,69.0,,0.69,21.389999999999997
2006-09-02,0,69.0,,0.69,0.0
2006-09-03,0,48.0,False,0.48,0.0
2006-09-04,28,48.0,,0.48,13.44
2006-09-05,0,48.0,,0.48,0.0
2006-09-06,15,48.0,,0.48,7.199999999999999
2006-09-07,22,48.0,,0.48,10.559999999999999
2006-09-08,18,48.0,,0.48,8.64
2006-09-09,0,48.0,,0.48,0.0
2006-09-10,23,52.0,False,0.52,11.96
2006-09-11,41,52.0,,0.52,21.32
2006-09-12,39,52.0,,0.52,20.28
2006-09-13,0,52.0,,0.52,0.0
2006-09-14,54,52.0,,0.52,28.080000000000002
2006-09-15,29,52.0,,0.52,15.08
2006-09-16,20,52.0,,0.52,10.4
2006-09-17,21,70.0,False,0.7,14.7
2006-09-18,26,70.0,,0.7,18.2
2006-09-19,12,70.0,,0.7,8.399999999999999
2006-09-20,13,70.0,,0.7,9.1
2006-09-21,39,70.0,,0.7,27.299999999999997
2006-09-22,28,70.0,,0.7,19.599999999999998
2006-09-23,20,70.0,,0.7,14.0
2006-09-24,100,75.0,False,0.75,75.0
2006-09-25,13,75.0,,0.75,9.75
2006-09-26,25,75.0,,0.75,18.75
2006-09-27,26,75.0,,0.75,19.5
2006-09-28,27,75.0,,0.75,20.25
2006-09-29,29,75.0,,0.75,21.75
2006-09-30,20,75.0,,0.75,15.0
2006-10-01,100,65.0,False,0.65,65.0
2006-10-02,44,65.0,,0.65,28.6
2006-10-03,70,65.0,,0.65,45.5
2006-10-04,71,65.0,,0.65,46.15
2006-10-05,96,65.0,,0.65,62.400000000000006
2006-10-06,26,65.0,,0.65,16.900000000000002
2006-10-07,0,65.0,,0.65,0.0
2006-10-08,0,33.0,False,0.33,0.0
2006-10-09,47,33.0,,0.33,15.510000000000002
2006-10-10,47,33.0,,0.33,15.510000000000002
2006-10-11,0,33.0,,0.33,0.0
2006-10-12,0,33.0,,0.33,0.0
2006-10-13,29,33.0,,0.33,9.57
2006-10-14,0,33.0,,0.33,0.0
2006-10-15,0,64.0,False,0.64,0.0
2006-10-16,23,64.0,,0.64,14.72
2006-10-17,22,64.0,,0.64,14.08
2006-10-18,69,64.0,,0.64,44.160000000000004
2006-10-19,45,64.0,,0.64,28.8
2006-10-20,25,64.0,,0.64,16.0
2006-10-21,0,64.0,,0.64,0.0
2006-10-22,76,44.0,False,0.44,33.44
2006-10-23,23,44.0,,0.44,10.12
2006-10-24,0,44.0,,0.44,0.0
2006-10-25,68,44.0,,0.44,29.92
2006-10-26,23,44.0,,0.44,10.12
2006-10-27,49,44.0,,0.44,21.56
2006-10-28,35,44.0,,0.44,15.4
2006-10-29,36,37.0,False,0.37,13.32
2006-10-30,22,37.0,,0.37,8.14
2006-10-31,45,37.0,,0.37,16.65
2006-11-01,23,37.0,,0.37,8.51
2006-11-02,32,37.0,,0.37,11.84
2006-11-03,80,37.0,,0.37,29.6
2006-11-04,0,37.0,,0.37,0.0
2006-11-05,35,38.0,False,0.38,13.3
2006-11-06,21,38.0,,0.38,7.98
2006-11-07,21,38.0,,0.38,7.98
2006-11-08,43,38.0,,0.38,16.34
2006-11-09,66,38.0,,0.38,25.080000000000002
2006-11-10,23,38.0,,0.38,8.74
2006-11-11,0,38.0,,0.38,0.0
2006-11-12,100,34.0,False,0.34,34.0
2006-11-13,21,34.0,,0.34,7.140000000000001
2006-11-14,42,34.0,,0.34,14.280000000000001
2006-11-15,29,34.0,,0.34,9.860000000000001
2006-11-16,42,34.0,,0.34,14.280000000000001
2006-11-17,68,34.0,,0.34,23.12
2006-11-18,32,34.0,,0.34,10.88
2006-11-19,0,47.0,False,0.47,0.0
2006-11-20,22,47.0,,0.47,10.34
2006-11-21,20,47.0,,0.47,9.399999999999999
2006-11-22,20,47.0,,0.47,9.399999999999999
2006-11-23,21,47.0,,0.47,9.87
2006-11-24,22,47.0,,0.47,10.34
2006-11-25,96,47.0,,0.47,45.12
2006-11-26,0,36.0,False,0.36,0.0
2006-11-27,20,36.0,,0.36,7.199999999999999
2006-11-28,20,36.0,,0.36,7.199999999999999
2006-11-29,0,36.0,,0.36,0.0
2006-11-30,39,36.0,,0.36,14.04
2006-12-01,70,36.0,,0.36,25.2
2006-12-02,0,36.0,,0.36,0.0
2006-12-03,54,38.0,False,0.38,20.52
2006-12-04,32,38.0,,0.38,12.16
2006-12-05,33,38.0,,0.38,12.540000000000001
2006-12-06,100,38.0,,0.38,38.0
2006-12-07,0,38.0,,0.38,0.0
2006-12-08,39,38.0,,0.38,14.82
2006-12-09,54,38.0,,0.38,20.52
2006-12-10,0,19.0,False,0.19,0.0
2006-12-11,0,19.0,,0.19,0.0
2006-12-12,0,19.0,,0.19,0.0
2006-12-13,35,19.0,,0.19,6.65
2006-12-14,0,19.0,,0.19,0.0
2006-12-15,0,19.0,,0.19,0.0
2006-12-16,0,19.0,,0.19,0.0
2006-12-17,59,32.0,False,0.32,18.88
2006-12-18,35,32.0,,0.32,11.200000000000001
2006-12-19,0,32.0,,0.32,0.0
2006-12-20,0,32.0,,0.32,0.0
2006-12-21,79,32.0,,0.32,25.28
2006-12-22,0,32.0,,0.32,0.0
2006-12-23,0,32.0,,0.32,0.0
2006-12-24,0,19.0,False,0.19,0.0
2006-12-25,0,19.0,,0.19,0.0
2006-12-26,0,19.0,,0.19,0.0
2006-12-27,80,19.0,,0.19,15.2
2006-12-28,40,19.0,,0.19,7.6
2006-12-29,0,19.0,,0.19,0.0
2006-12-30,67,19.0,,0.19,12.73
2006-12-31,0,0.0,False,0.0,0.0
